game_id,name,url,year,certificate,rating,votes,plot,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller
0,Spider-Man,https://www.imdb.com/title/tt5807780/?ref_=adv_li_tt,2018.0,T,9.2,20759.0,"When a new villain threatens New York City, Peter Parker and Spider-Man's worlds collide. To save the city and those he loves, he must rise up and be greater.",1,1,0,0,0,1,0,0,0
1,Red Dead Redemption II,https://www.imdb.com/title/tt6161168/?ref_=adv_li_tt,2018.0,M,9.7,35703.0,"Amidst the decline of the Wild West at the turn of the 20th century, outlaw Arthur Morgan and his gang struggle to cope with the loss of their way of life.",1,1,0,1,0,0,0,0,0
2,Grand Theft Auto V,https://www.imdb.com/title/tt2103188/?ref_=adv_li_tt,2013.0,M,9.5,59986.0,Three very different criminals team up for a series of heists and walk into some of the most thrilling experiences in the corrupt city of Los Santos.,1,0,0,1,0,0,0,0,0
3,God of War,https://www.imdb.com/title/tt5838588/?ref_=adv_li_tt,2018.0,M,9.6,26118.0,"After wiping out the gods of Mount Olympus, Kratos moves on to the frigid lands of Scandinavia, where he and his son must embark on an odyssey across a dangerous world of gods and monsters.",1,1,0,0,0,0,0,0,0
4,Uncharted 4: A Thief's End,https://www.imdb.com/title/tt3334704/?ref_=adv_li_tt,2016.0,T,9.5,28722.0,"Thrown back into the dangerous underworld he'd tried to leave behind, Nathan Drake must decide what he's willing to sacrifice to save the ones he loves.",1,1,0,0,0,0,0,0,0
5,The Last of Us: Part II,https://www.imdb.com/title/tt6298000/?ref_=adv_li_tt,2020.0,M,8.5,30460.0,"Five years after the events of The Last of Us, Ellie embarks on another journey through a post-apocalyptic America on a mission of vengeance against a mysterious militia.",1,1,0,0,0,0,0,0,0
6,Horizon Forbidden West,https://www.imdb.com/title/tt12496904/?ref_=adv_li_tt,2022.0,T,9.2,2979.0,Aloy treks into an arcane region and faces new hostile enemies and threats in search of a way to heal the world from a deadly blight and catastrophic storms.,1,1,0,0,0,0,1,0,0
7,The Last of Us,https://www.imdb.com/title/tt2140553/?ref_=adv_li_tt,2013.0,M,9.7,60590.0,"In a hostile, post-pandemic world, Joel and Ellie, brought together by desperate circumstances, must rely on each other to survive a brutal journey across what remains of the United States.",1,1,0,0,0,0,0,0,0
8,Detroit: Become Human,https://www.imdb.com/title/tt5158314/?ref_=adv_li_tt,2018.0,M,9.2,16907.0,Take control of three androids in their quest to discover who they really are.,1,1,0,0,0,0,0,0,0
9,Death Stranding,https://www.imdb.com/title/tt5807606/?ref_=adv_li_tt,2019.0,M,8.8,8136.0,Deliveryman Sam Porter must travel across a ravaged wasteland and reconnect the city states of America formed after a mysterious apocalyptic event dubbed 'death stranding' left the world in ruins and plagued by supernatural tar creatures.,1,1,0,0,0,0,0,0,0
10,Ghost of Tsushima,https://www.imdb.com/title/tt7651352/?ref_=adv_li_tt,2020.0,M,9.3,8452.0,"Set in 1274 on the Tsushima Island, the last samurai, Jin Sakai, must master a new fighting style, the way of the Ghost, to defeat the Mongol forces and fight for the freedom and independence of Japan.",1,1,0,0,0,0,0,0,0
11,Spider-Man: Miles Morales,https://www.imdb.com/title/tt12496734/?ref_=adv_li_tt,2020.0,T,8.5,5835.0,"In this sequel of Marvel's Spider-Man (2018), you can play as Miles Morales as a new and different Spider-Man while he learns some stories about his will of fighting crime and serving justice by his mentor and former hero, Peter Parker.",1,1,0,0,0,1,0,0,0
12,Cyberpunk 2077,https://www.imdb.com/title/tt3810192/?ref_=adv_li_tt,2020.0,M,8.0,8118.0,"In Night City, a mercenary known as V navigates a dystopian society in which the line between humanity and technology becomes blurred.",1,0,0,1,0,0,0,0,0
13,Uncharted: Drake's Fortune,https://www.imdb.com/title/tt1000777/?ref_=adv_li_tt,2007.0,T,8.5,20343.0,"Treasure hunter Nathan Drake, embarks in the adventure of his life searching for the legendary treasure, El Dorado while fighting a group of mercenaries.",1,1,0,0,0,1,0,0,0
14,Batman: Arkham Knight,https://www.imdb.com/title/tt3554580/?ref_=adv_li_tt,2015.0,M,9.0,18970.0,"With his back against the wall, Batman turns to his closest allies to help him save Gotham City from the clutches of Scarecrow and the Arkham Knight's army. A familiar face also returns to give The Dark Knight a message he cannot ignore.",1,1,0,1,0,0,0,0,0
15,God of War: Ragnarök,https://www.imdb.com/title/tt13119450/?ref_=adv_li_tt,2022.0,M,7.2,0.0,"Kratos and his son Atreus face the oncoming Norse apocalypse, Ragnarok.",1,1,0,0,0,0,0,0,0
16,Far Cry 6,https://www.imdb.com/title/tt12693278/?ref_=adv_li_tt,2021.0,M,7.6,1922.0,"As dictator of Yara, Anton Castillo is intent on restoring his nation back to its former glory by any means, with his son, Diego, following in his bloody footsteps.",1,1,0,1,0,0,0,0,0
17,Grand Theft Auto: San Andreas,https://www.imdb.com/title/tt0383385/?ref_=adv_li_tt,2004.0,M,9.4,39629.0,"A family tragedy prompts gangster Carl ""CJ"" Johnson to return home, only to find it overrun by crime and corruption, which he must regain control of the streets before it gets even worse.",1,0,0,1,0,0,0,0,0
18,MultiVersus,https://www.imdb.com/title/tt16150204/?ref_=adv_li_tt,2022.0,T,7.8,244.0,A crossover fighting game featuring many different Warner Bros properties.,1,0,0,0,0,1,0,1,0
19,Far Cry 3,https://www.imdb.com/title/tt2321297/?ref_=adv_li_tt,2012.0,M,8.9,18775.0,"While skydiving, Jason Brody and his friends land on an island overrun by pirates, where Jason is torn between fighting for the Rakyat resistance and rescuing his friends.",1,1,0,0,0,0,0,0,0
20,Star Wars Jedi: Fallen Order,https://www.imdb.com/title/tt5691474/?ref_=adv_li_tt,2019.0,T,8.5,11316.0,"Set shortly after Revenge of the Sith, the player takes on the role of a Jedi padawan being hunted by the Empire after Order 66.",1,1,0,0,0,0,0,0,0
21,Elden Ring,https://www.imdb.com/title/tt10562854/?ref_=adv_li_tt,2022.0,M,9.5,4108.0,"In a dark fantasy world created by Hidetaka Miyazaki (Dark Souls) and George R. R. Martin (A Song of Ice and Fire), the player is a Tarnished who is called back to the Lands Between to restore the Elden Ring and become the Elden Lord.",1,1,0,0,0,1,0,0,0
22,Xenoblade Chronicles 3,https://www.imdb.com/title/tt18115292/?ref_=adv_li_tt,2022.0,T,9.0,84.0,"In the world of Aionios, two nations are locked in conflict: Keves, a technological powerhouse and Agnus, a magic-based society. Six soldiers hailing from these nations, will take part in a grand tale with life as its central theme.",1,1,0,0,0,1,0,0,0
23,Uncharted: The Nathan Drake Collection,https://www.imdb.com/title/tt5766946/?ref_=adv_li_tt,2015.0,T,9.4,5383.0,"A remastered collection of Uncharted: Drake's Fortune (2007), Uncharted 2: Among Thieves (2009), and Uncharted 3: Drake's Deception (2011) for PlayStation 4.",1,1,0,0,0,1,0,0,0
24,Assassin's Creed Valhalla,https://www.imdb.com/title/tt12235026/?ref_=adv_li_tt,2020.0,M,8.1,4072.0,England in the age of the Vikings is a fractured nation of petty lords and warring kingdoms. Beneath the chaos lies a rich and untamed land waiting for a new conqueror. Will it be you?,1,1,0,0,0,1,0,0,0
25,Marvel's Guardians of the Galaxy,https://www.imdb.com/title/tt14844718/?ref_=adv_li_tt,2021.0,T,8.7,3381.0,"After an epic conflict known as the Galactic War swept through the cosmos. Star-Lord recently formed the Guardians of the Galaxy, they've been together for less than a year.",1,1,1,0,0,0,0,0,0
26,Grand Theft Auto: Vice City,https://www.imdb.com/title/tt0314123/?ref_=adv_li_tt,2002.0,M,9.2,26397.0,"After being released from jail, Tommy Vercetti left Liberty City for Vice City, a city overrun by the mob. Now, Tommy is out to make Vice City his home.",1,0,0,1,0,0,0,0,0
27,Uncharted 2: Among Thieves,https://www.imdb.com/title/tt1349460/?ref_=adv_li_tt,2009.0,T,9.4,25048.0,"After being tracked down by Harry Flynn, Nathan Drake goes on a quest for Marco Polo's lost fleet. However when things take an unexpected turn for the worst, Drake must rely on those closest to him in order to find the Cintomani Stone.",1,1,0,0,0,1,0,0,0
28,The Witcher 3: Wild Hunt,https://www.imdb.com/title/tt2993508/?ref_=adv_li_tt,2015.0,M,9.7,26083.0,A monster hunter for hire embarks on an epic journey to find his former apprentice before The Wild Hunt can capture her and bring about the destruction of the world.,1,1,0,0,0,0,0,0,0
29,Fallout: New Vegas,https://www.imdb.com/title/tt1706601/?ref_=adv_li_tt,2010.0,M,8.9,12296.0,"After surviving a bullet to the head, Courier Six traverses the post-apocalyptic Mojave desert in search of the men who wronged him, while making an impact on thousands in the process.",1,1,0,0,0,0,0,1,0
30,Command & Conquer: Red Alert 3,https://www.imdb.com/title/tt1198194/?ref_=adv_li_tt,2008.0,T,7.5,2066.0,"As the Soviet Union was beginning to face defeat by the powers of the western world, General Krukov and Colonel Cherdenko with Dr. Zelinski make a last ditch effort to save the Union by using Zelinski's latest invention, a time machine.",1,0,0,0,0,0,0,1,0
31,Horizon Zero Dawn,https://www.imdb.com/title/tt4044024/?ref_=adv_li_tt,2017.0,T,9.0,14234.0,"In a primitive tribal world where strange, monstrous, animalistic machines roam the wilderness, a brave young female warrior goes on a quest to learn the truth about her mysterious origin and the state the world is in.",1,1,0,0,0,0,1,0,0
32,Red Dead Redemption,https://www.imdb.com/title/tt1479962/?ref_=adv_li_tt,2010.0,M,9.5,26627.0,A former outlaw is forced by the federal government to hunt down the members of his old gang.,1,1,0,0,0,0,0,0,0
33,Call of Duty: Modern Warfare,https://www.imdb.com/title/tt10417512/?ref_=adv_li_tt,2019.0,M,8.4,5256.0,"Captain Price and the SAS partner with the CIA and the Urzikstani Liberation Force to retrieve stolen chemical weapons. The fight takes you from London to the Middle East and beyond, as this joint task force battles to stop a global war.",1,0,0,0,0,0,0,0,1
34,Final Fantasy VII Remake,https://www.imdb.com/title/tt6057416/?ref_=adv_li_tt,2020.0,T,9.0,3635.0,Re-imagining of Final Fantasy VII (1997). A former soldier joins an eco-terrorist group in a mission against the electric power company he used to work for in order to protect the planet and all who reside on it.,1,1,0,0,0,1,0,0,0
35,Genshin Impact,https://www.imdb.com/title/tt11585486/?ref_=adv_li_tt,2020.0,T,7.9,1125.0,"Each nation is associated with an element and worships a god associated with that element. A pair of twins arrive on Teyvat in the distant past, but are barred from leaving by an unknown god.",1,1,0,0,0,1,0,0,0
36,The Elder Scrolls V: Skyrim,https://www.imdb.com/title/tt1814884/?ref_=adv_li_tt,2011.0,M,9.4,29382.0,"After escaping execution, the last living Dragonborn must grow in strength and power to defeat the dragons that have once again begun to plague the land of Skyrim.",1,1,0,0,0,1,0,0,0
37,Fallout 4,https://www.imdb.com/title/tt4741306/?ref_=adv_li_tt,2015.0,M,8.6,12790.0,"In the post-apocalyptic Boston, Massachusetts area, you play as the ""Sole Survior"" of Vault 111, recently revived from centuries of forced cryostasis, determined to find your kidnapped son.",1,1,0,0,0,0,0,1,0
38,Yakuza: Like a Dragon,https://www.imdb.com/title/tt11121754/?ref_=adv_li_tt,2020.0,M,8.7,536.0,"Ichiban Kasuga, a low-level Yakuza member looking to prove his self-worth, and follows him and his motley crew of unlikely allies as they attempt to rise from rags to riches in this modern human drama.",1,0,1,1,0,0,0,0,0
39,Days Gone,https://www.imdb.com/title/tt6795336/?ref_=adv_li_tt,2019.0,M,8.3,5981.0,"Two years after a devastating global pandemic, bounty hunter Deacon St. John faces a brutal struggle for survival, and a reason to live.",1,1,0,0,0,0,0,0,0
41,Grand Theft Auto IV,https://www.imdb.com/title/tt0802999/?ref_=adv_li_tt,2008.0,M,8.9,34553.0,"Niko Bellic comes to Liberty City, America to live the good life, but ends up having to assist his dangerously indebted cousin Roman with his financial troubles, by any (mostly illegal) means necessary.",1,0,0,1,0,0,0,0,0
42,Batman: Arkham City,https://www.imdb.com/title/tt1568322/?ref_=adv_li_tt,2011.0,T,9.4,30763.0,"When part of Gotham is turned into a private reserve for criminals known as Arkham City, all hell is sure to break loose, and the Dark Knight is the only one who can stop it.",1,1,0,1,0,0,0,0,0
43,Tiny Tina's Wonderlands,https://www.imdb.com/title/tt14831458/?ref_=adv_li_tt,2022.0,M,8.2,350.0,"Embark on an epic adventure full of whimsy, wonder, and high-powered weaponry. Bullets, magic, and broadswords collide across this chaotic fantasy world brought to life by the unpredictable Tiny Tina.",1,1,1,0,0,0,0,0,0
44,Saints Row,https://www.imdb.com/title/tt10925300/?ref_=adv_li_tt,2022.0,M,4.3,221.0,An international private military corporation based in Santo Ileso that provides security for the city.,1,0,1,1,0,0,0,0,0
